				VRZ	VRZ_BY	VRZ	1000	0			0	0	0																										HB		0	BAB	BAB-km												DZS	Adressen		Inselbus		Lokalbus	EAK	UZ 				Prinzip	Steuerung								der SST in															Rechts	Hoch	Höhe (ü. NN)	Koordinaten	nur bei Einbiegern			nur bei Abb.	zwischen-/ bei-As	und-AS	
				UZ	UZ_BY	UZ	1000	1			201	1																											HB		0		von	bis	Topographie	Bezeichnung	Location	Dist.	XHI	HI	LO 	IP-Adresse SM	Subnetzmaske	Port-Nr.(IP)	Zst.Nr.	FG	DE-Kanal	Port	Slave/SM	Slave	Kanal	ID	intern	Version	Typ	Anzeige		Bemerkungen 1	Bemerkungen 2	Bemerkungen 3	Typ	Bit	Projekt	Hers.	Fahrtrichtung										WVZ-Semantik (nur für PW)								neu 03/2015	von Richtung	von Str. Nr.	in Richtung	Str. in Richtg.			
																																						2011-10-12_KonfiglisteVermessungV2.3.0.H-ave.XLS	UZ Erbshausen	Aktiv	X	A 7	636,700		AS Schweinfurt-Niederwerrn - 1800m	A 007 A 636,7	12292	53	30	4	35					4	165	205	2	33	2	028	7	TLS97				Prismenwender Antrieb Umlenkungspfeil unten	PW	Motor 2			NBA N-SW	10	Würzburg	Prisma (AKZ)	Prismenwender	A636,7			A007 A636,7	636,766						Süd/ West	Rechts	10,068075666	50,021272935	281,326		Fulda		Würzburg		AS 98 Schweinfurt/ Niederwerrn (B303)	99 Dreieck Schweinfurt/ Werneck (A70(2))	
																																						2011-10-12_KonfiglisteVermessungV2.3.0.H-ave.XLS	UZ Erbshausen	Aktiv	X	A 7	636,700		AS Schweinfurt-Niederwerrn - 1800m	A 007 A 636,7	12292	53	30	4	35					4	167	205	2	33	3	028	7	TLS97				Prismenwender Antrieb Zeile 1 (oben)	PW	Motor 3			NBA N-SW	10	Würzburg	Prisma (AKZ)	Prismenwender	A636,7			A007 A636,7	636,766						Süd/ West	Rechts	10,068075666	50,021272935	281,326		Fulda		Würzburg		AS 98 Schweinfurt/ Niederwerrn (B303)	99 Dreieck Schweinfurt/ Werneck (A70(2))	
																																						2011-10-12_KonfiglisteVermessungV2.3.0.H-ave.XLS	UZ Erbshausen	Aktiv	X	A 7	636,700		AS Schweinfurt-Niederwerrn - 1800m	A 007 A 636,7	12292	53	30	4	35					4	169	205	2	33	4	028	7	TLS97				Prismenwender Antrieb Zeile 2	PW	Motor 4			NBA N-SW	10	Würzburg	Prisma (AKZ)	Prismenwender	A636,7			A007 A636,7	636,766						Süd/ West	Rechts	10,068075666	50,021272935	281,326		Fulda		Würzburg		AS 98 Schweinfurt/ Niederwerrn (B303)	99 Dreieck Schweinfurt/ Werneck (A70(2))	
																																						2011-10-12_KonfiglisteVermessungV2.3.0.H-ave.XLS	UZ Erbshausen	Aktiv	X	A 7	636,700		AS Schweinfurt-Niederwerrn - 1800m	A 007 A 636,7	12292	53	30	4	35					4	171	205	2	33	5	028	7	TLS97				Prismenwender Antrieb Zeile 3	PW	Motor 5			NBA N-SW	10	Würzburg	Prisma (AKZ)	Prismenwender	A636,7			A007 A636,7	636,766						Süd/ West	Rechts	10,068075666	50,021272935	281,326		Fulda		Würzburg		AS 98 Schweinfurt/ Niederwerrn (B303)	99 Dreieck Schweinfurt/ Werneck (A70(2))	
																																						2011-10-12_KonfiglisteVermessungV2.3.0.H-ave.XLS	UZ Erbshausen	Aktiv	X	A 7	636,700		AS Schweinfurt-Niederwerrn - 1800m	A 007 A 636,7	12292	53	30	4	35					4	173	205	2	33	6	028	7	TLS97				Prismenwender Antrieb Zeile 4 (unten)	PW	Motor 6			NBA N-SW	10	Würzburg	Prisma (AKZ)	Prismenwender	A636,7			A007 A636,7	636,766						Süd/ West	Rechts	10,068075666	50,021272935	281,326		Fulda		Würzburg		AS 98 Schweinfurt/ Niederwerrn (B303)	99 Dreieck Schweinfurt/ Werneck (A70(2))	
																																						2011-10-12_KonfiglisteVermessungV2.3.0.H-ave.XLS	UZ Erbshausen	Aktiv	X	A 7	636,700		AS Schweinfurt-Niederwerrn - 1800m	A 007 A 636,7	12292	53	30	4	35					4	193	205	2	33	0	028	7	TLS97				Clusterkanal FG4	CK				NBA N-SW	10	Würzburg	SS A007 A636,7	Cluster	A636,7			A007 A636,7	636,714						Süd/ West	Rechts	10,068230244	50,021722543	279,502		Fulda		Würzburg		AS 98 Schweinfurt/ Niederwerrn (B303)	99 Dreieck Schweinfurt/ Werneck (A70(2))	
																																						2011-10-12_KonfiglisteVermessungV2.3.0.H-ave.XLS	UZ Erbshausen	Aktiv	X	A 7	636,700		AS Schweinfurt-Niederwerrn - 1800m	A 007 A 636,7	12292	53	30	4	35					6	1	205	2	32	1	028	7	TLS97				Tür zu / auf	DE				NBA N-SW	10	Würzburg	SS A007 A636,7	Türkontakt	A636,7			A007 A636,7	636,714						Süd/ West	Rechts	10,068230244	50,021722543	279,502		Fulda		Würzburg		AS 98 Schweinfurt/ Niederwerrn (B303)	99 Dreieck Schweinfurt/ Werneck (A70(2))	
																																						2011-10-12_KonfiglisteVermessungV2.3.0.H-ave.XLS	UZ Erbshausen	Aktiv	X	A 7	636,700		AS Schweinfurt-Niederwerrn - 1800m	A 007 A 636,7	12292	53	30	4	35					6	2	205	2	32	2	028	7	TLS97				Heizung aus / ein	DE				NBA N-SW	10	Würzburg	SS A007 A636,7	Heizung	A636,7			A007 A636,7	636,714						Süd/ West	Rechts	10,068230244	50,021722543	279,502		Fulda		Würzburg		AS 98 Schweinfurt/ Niederwerrn (B303)	99 Dreieck Schweinfurt/ Werneck (A70(2))	
																																						2011-10-12_KonfiglisteVermessungV2.3.0.H-ave.XLS	UZ Erbshausen	Aktiv	X	A 7	636,700		AS Schweinfurt-Niederwerrn - 1800m	A 007 A 636,7	12292	53	30	4	35					6	193	205	2	32	0	028	7	TLS97				Clusterkanal FG6	CK				NBA N-SW	10	Würzburg	SS A007 A636,7	Cluster	A636,7			A007 A636,7	636,714						Süd/ West	Rechts	10,068230244	50,021722543	279,502		Fulda		Würzburg		AS 98 Schweinfurt/ Niederwerrn (B303)	99 Dreieck Schweinfurt/ Werneck (A70(2))	
																																						2011-10-12_KonfiglisteVermessungV2.3.0.H-ave.XLS	UZ Erbshausen	Aktiv	X	A 7	636,720		nördl. AD Schweinfurt/ Werneck	A 007 A 636,7	12292	54	30	4	36					1	1	205	3	0	1	028	7	TLS97				HFS FR Nord/Ost					NBA N-SW	13	Ulm	MQ 1.1, 1.2	Messschleife	A636,7			A007 A636,7	636,714						Nord/ Ost	HFS	10,068672987	50,021643790	281,608		Würzburg		Fulda		99 Dreieck Schweinfurt/ Werneck (A70(2))	AS 98 Schweinfurt/ Niederwerrn (B303)	
