NewId;OldId;DE;LOD;DIST;KontenNr
wzg.wzg_96_171584_mch_pw4_4.m.de;;4;37538;239;9609967
wzg.cluster_aq_92_eost_0655_fy_193.m.de;;193;36001;160;9216416
wzg.wzg92-580-mch_a1_33.m.de;;33;36001;211;9216467
wzg.aqq77_sbg_c2_74.m.de;;74;3153;163;807331
wzg.cluster_aq_b2n_006170_gap_cluster_197.m.de;;197;809;150;207254
aq.aq_b2n_007633_gap.m.de;;0;809;172;207276
wzg.wzg_9_493840_nbg_a2_2.m.de;WZG_AQ_9_493840_Nbg_2;2;3547;203;908235
wzg.wzg_9_483970_nbg_w1_225.m.de;;225;3545;235;907755
wzg.wzg_9_508590_mch_dlz1_41.m.de;WZG_AQ_9_508590_Mch_41;41;3589;166;918950
wzg.wzg_9_493840_nbg_b2_66.m.de;WZG_AQ_9_493840_Nbg_66;66;3547;203;908235
wzg.wzg9-760-mch_bl1_35.m.de;WWQ_9760_35;35;35669;66;9131330
wzg.wzg92-120-deg_a2_2.m.de;;2;35962;124;9206396
wzg.aqq77_sbg_a1_1.m.de;;1;3153;163;807331
wzg.wzg8-110-mch_bl1_33.m.de;AQ8O_110_Mch_33;33;3149;234;806378
wzg.wzg_9_477875_mch_c1_105.m.de;WZG_AQ_9_477875_Mch_105;105;3583;207;917455
wzg.wzg92-610-mch_p_a1_33.m.de;;33;36001;119;9216375
aq.aqzfr02-pas.m.de;;0;36742;170;9406122
wzg.wzg_99_2018_lin_a3_35.m.de;;35;38695;232;9906152
wzg.wzgaq14-pas_dlzfs2_10.m.de;;10;36742;163;9406115
wzg.wzg_96_171060_mch_pw4_4.m.de;;4;37538;227;9609955
wzg.dlz_96_147050_mch_dlz2_2.m.de;;2;37575;201;9619401
wzg.wzg_b2n_008613_gap_lsa1_163.m.de;;163;809;189;207293
wzg.wzg9-210-nbg_a2_2.m.de;WZG_AQ9_210_Nbg_2;2;35278;174;9031342
wzg.aqq221_mch_c1_105.m.de;;105;3199;124;819068
wzg.wzg99-732-stg_a1_135.m.de;;135;38743;227;9918435
wzg.wzg_99_3674_sbg_dlz3_10.m.de;;10;38735;112;9916272
