VERSIONNR;LOCATIONCODE;TYPE;SUBTYPE;ROADNUMBER;ROADNAME;FIRST_NAME;SECOND_NAME;ADMIN_AREA;AREA_REFERENCE;LINEAR_REFERENCE;NEGATIVE_OFFSET;POSITIVE_OFFSET;INTERSECTIONCODE;LATITUDE;LONGITUDE;URBAN;IN_POSITIVE;OUT_POSITIVE;IN_NEGATIVE;OUT_NEGATIVE;PRESENT_POSITIVE;PRESENT_NEGATIVE
20.0;32420;A10;0;;;Pullenreuth;;;00679;;;;;;;;;;;;;;
20.0;2115;A10;0;;;Pechbrunn;;;00679;;;;;;;;;;;;;;
20.0;2163;A10;0;;;Plößberg;;;00679;;;;;;;;;;;;;;
20.0;561;A9;1;;;Neustadt a.d.Waldnaab;;;00296;;;;;;;;;;;;;;
20.0;2160;A10;0;;;Pleystein;;;00561;;;;;;;;;;;;;;
20.0;32431;A10;0;;;Georgenberg;;;00561;;;;;;;;;;;;;;
20.0;4185;A10;0;;;Floß;;;00561;;;;;;;;;;;;;;
20.0;32424;A10;0;;;Kohlberg;;;00561;;;;;;;;;;;;;;
20.0;2606;A10;0;;;Vohenstrauß;;;00561;;;;;;;;;;;;;;
20.0;1790;A10;0;;;Leuchtenberg;;;00561;;;;;;;;;;;;;;
20.0;1620;A10;0;;;Weiherhammer;;;00561;;;;;;;;;;;;;;
20.0;32429;A10;0;;;Störnstein;;;00561;;;;;;;;;;;;;;
20.0;2614;A10;0;;;Waidhaus;;;00561;;;;;;;;;;;;;;
20.0;46549;A10;0;;;Flossenbürg;;;00561;;;;;;;;;;;;;;
20.0;3944;A10;0;;;Neustadt a.d.Waldnaab;;;00561;;;;;;;;;;;;;;
20.0;36209;A10;0;;;Speinshart;;;00561;;;;;;;;;;;;;;
20.0;32415;A10;0;;;Moosbach;;;00561;;;;;;;;;;;;;;
20.0;32428;A10;0;;;Theisseil;;;00561;;;;;;;;;;;;;;
20.0;771;A10;0;;;Altenstadt a.d. Waldnaab;;;00561;;;;;;;;;;;;;;
20.0;32414;A10;0;;;Schwarzenbach;;;00561;;;;;;;;;;;;;;
20.0;32427;A10;0;;;Mantel;;;00561;;;;;;;;;;;;;;
20.0;5401;A10;0;;;Windischeschenbach;;;00561;;;;;;;;;;;;;;
20.0;4422;A10;0;;;Neustadt am Kulm;;;00561;;;;;;;;;;;;;;
20.0;5291;A10;0;;;Luhe-Wildenau;;;00561;;;;;;;;;;;;;;
20.0;1205;A10;0;;;Eschenbach i.d. OPf.;;;00561;;;;;;;;;;;;;;
20.0;2181;A10;0;;;Pressath;;;00561;;;;;;;;;;;;;;
20.0;2537;A10;0;;;Tännesberg;;;00561;;;;;;;;;;;;;;
20.0;32416;A10;0;;;Eslarn;;;00561;;;;;;;;;;;;;;
20.0;36208;A10;0;;;Bechtsrieth;;;00561;;;;;;;;;;;;;;
20.0;32423;A10;0;;;Waldthurn;;;00561;;;;;;;;;;;;;;
20.0;1370;A10;0;;;Grafenwöhr;;;00561;;;;;;;;;;;;;;
20.0;35296;A10;0;;;Kirchendemenreuth;;;00561;;;;;;;;;;;;;;
20.0;1661;A10;0;;;Kirchenthumbach;;;00561;;;;;;;;;;;;;;
20.0;32425;A10;0;;;Etzenricht;;;00561;;;;;;;;;;;;;;
20.0;32434;A10;0;;;Püchersreuth;;;00561;;;;;;;;;;;;;;
20.0;315;A9;1;;;Amberg-Sulzbach;;;00296;;;;;;;;;;;;;;
20.0;2890;A10;0;;;Ebermannsdorf;;;00315;;;;;;;;;;;;;;
20.0;3996;A10;0;;;Ursensollen;;;00315;;;;;;;;;;;;;;
20.0;810;A10;0;;;Auerbach i.d. OPf.;;;00315;;;;;;;;;;;;;;
20.0;31732;A10;0;;;Schnaittenbach;;;00315;;;;;;;;;;;;;;
20.0;3003;A10;0;;;Königstein;;;00315;;;;;;;;;;;;;;
20.0;31870;A10;0;;;Kümmersbruck;;;00315;;;;;;;;;;;;;;
20.0;7719;A10;0;;;Rieden;;;00315;;;;;;;;;;;;;;
20.0;7875;P6;12;;Kreuth;Ostbayernhalle - Reitsportzentrum;;;07719;;;;;49,3104;11,92975;1;0;0;0;0;0;0;
20.0;2653;A10;0;;;Weigendorf;;;00315;;;;;;;;;;;;;;
20.0;32153;A10;0;;;Schmidmühlen;;;00315;;;;;;;;;;;;;;
20.0;2500;A10;0;;;Sulzbach-Rosenberg;;;00315;;;;;;;;;;;;;;
20.0;3858;A10;0;;;Freihung;;;00315;;;;;;;;;;;;;;
20.0;1427;A10;0;;;Hahnbach;;;00315;;;;;;;;;;;;;;
20.0;32072;A10;0;;;Illschwang;;;00315;;;;;;;;;;;;;;
20.0;31885;A10;0;;;Birgland;;;00315;;;;;;;;;;;;;;
20.0;31743;A10;0;;;Vilseck;;;00315;;;;;;;;;;;;;;
20.0;1305;A10;0;;;Gebenbach;;;00315;;;;;;;;;;;;;;
20.0;3892;A10;0;;;Kastl;;;00315;;;;;;;;;;;;;;
20.0;1523;A10;0;;;Hirschau;;;00315;;;;;;;;;;;;;;
20.0;2219;A9;2;;;Regensburg;;;00296;;;;;;;;;;;;;;
20.0;35160;A6;3;;;Gewerbepark;;;02219;;;;;;;;;;;;;;
20.0;31799;A6;4;;;Dultplatz;;;02219;;;;;;;;;;;;;;
20.0;31796;A6;4;;;Innenstadt/Domplatz;;;02219;;;;;;;;;;;;;;
20.0;15545;P6;12;;Franz-Josef-Strauß-Allee;(Fußball-)-Arena;;;02219;;;;;48,9906;12,1078;1;0;0;0;0;0;0;
20.0;31797;P5;3;;Weichser Weg;Einkaufszentrum;;;02219;;;;;49,02605;12,1182;1;0;0;0;0;0;0;
20.0;31798;P5;2;;Am Eisenbahndamm;Donauarena;;;02219;;;;;49,02565;12,1336;1;0;0;0;0;0;0;
20.0;60833;P5;8;;A3 Nürnberg-Passau;Regensburg-Ost;;;02219;;;;;48,99575;12,1498;1;0;0;0;0;0;0;
20.0;362;A9;1;;;Cham;;;00296;;;;;;;;;;;;;;
20.0;31747;A10;0;;;Waldmünchen;;;00362;;;;;;;;;;;;;;
20.0;4334;A10;0;;;Lam;;;00362;;;;;;;;;;;;;;
20.0;32185;A10;0;;;Michelsneukirchen;;;00362;;;;;;;;;;;;;;
20.0;4034;A10;0;;;Arrach;;;00362;;;;;;;;;;;;;;
20.0;2766;A10;0;;;Zell;;;00362;;;;;;;;;;;;;;
20.0;32180;A10;0;;;Neukirchen beim Heiligen Blut;;;00362;;;;;;;;;;;;;;
20.0;32199;A10;0;;;Schönthal;;;00362;;;;;;;;;;;;;;
20.0;2282;A10;0;;;Rötz;;;00362;;;;;;;;;;;;;;
20.0;2260;A10;0;;;Roding;;;00362;;;;;;;;;;;;;;
20.0;32190;A10;0;;;Arnschwang;;;00362;;;;;;;;;;;;;;
20.0;4285;A10;0;;;Hohenwarth;;;00362;;;;;;;;;;;;;;
20.0;3859;A10;0;;;Furth im Wald;;;00362;;;;;;;;;;;;;;
20.0;3991;A10;0;;;Traitsching;;;00362;;;;;;;;;;;;;;
20.0;32184;A10;0;;;Falkenstein;;;00362;;;;;;;;;;;;;;
20.0;32186;A10;0;;;Walderbach;;;00362;;;;;;;;;;;;;;
20.0;17822;A10;0;;;Willmering;;;00362;;;;;;;;;;;;;;
20.0;3950;A10;0;;;Pemfling;;;00362;;;;;;;;;;;;;;
20.0;32181;A10;0;;;Eschlkam;;;00362;;;;;;;;;;;;;;
20.0;2615;A10;0;;;Wald;;;00362;;;;;;;;;;;;;;
20.0;4326;A10;0;;;Bad Kötzting;;;00362;;;;;;;;;;;;;;
20.0;32193;A10;0;;;Tiefenbach;;;00362;;;;;;;;;;;;;;
20.0;1038;A10;0;;;Cham;;;00362;;;;;;;;;;;;;;
20.0;2873;A10;0;;;Chamerau;;;00362;;;;;;;;;;;;;;
20.0;3051;A10;0;;;Miltach;;;00362;;;;;;;;;;;;;;
20.0;32435;A6;1;;;Nördliche Oberpfalz;;;00296;;;;;;;;;;;;;;
20.0;3229;A9;1;;;Regensburg;;;00296;;;;;;;;;;;;;;
20.0;32196;A10;0;;;Duggendorf;;;03229;;;;;;;;;;;;;;
20.0;32188;A10;0;;;Zeitlarn;;;03229;;;;;;;;;;;;;;
20.0;4028;A10;0;;;Altenthann;;;03229;;;;;;;;;;;;;;
20.0;32195;A10;0;;;Brunn;;;03229;;;;;;;;;;;;;;
20.0;31876;A10;0;;;Beratzhausen;;;03229;;;;;;;;;;;;;;
20.0;3951;A10;0;;;Pettendorf;;;03229;;;;;;;;;;;;;;
20.0;32189;A10;0;;;Hagelstadt;;;03229;;;;;;;;;;;;;;
20.0;4671;A10;0;;;Wörth a.d. Donau;;;03229;;;;;;;;;;;;;;
20.0;1486;A10;0;;;Hemau;;;03229;;;;;;;;;;;;;;
20.0;2137;A10;0;;;Pfatter;;;03229;;;;;;;;;;;;;;
20.0;2067;A10;0;;;Obertraubling;;;03229;;;;;;;;;;;;;;
20.0;32194;A10;0;;;Brennberg;;;03229;;;;;;;;;;;;;;
20.0;31873;A10;0;;;Mintraching;;;03229;;;;;;;;;;;;;;
20.0;916;A10;0;;;Bernhardswald;;;03229;;;;;;;;;;;;;;
20.0;878;A10;0;;;Barbing;;;03229;;;;;;;;;;;;;;
20.0;1759;A10;0;;;Lappersdorf;;;03229;;;;;;;;;;;;;;
20.0;2323;A10;0;;;Schierling;;;03229;;;;;;;;;;;;;;
20.0;1080;A10;0;;;Deuerling;;;03229;;;;;;;;;;;;;;
20.0;32183;A10;0;;;Sünching;;;03229;;;;;;;;;;;;;;
20.0;3434;A10;0;;;Donaustauf;;;03229;;;;;;;;;;;;;;
20.0;32182;A10;0;;;Pfakofen;;;03229;;;;;;;;;;;;;;
20.0;32187;A10;0;;;Wenzenbach;;;03229;;;;;;;;;;;;;;
20.0;31588;A10;0;;;Neutraubling;;;03229;;;;;;;;;;;;;;
20.0;1688;A10;0;;;Köfering;;;03229;;;;;;;;;;;;;;
20.0;31874;A10;0;;;Sinzing;;;03229;;;;;;;;;;;;;;
20.0;31875;A10;0;;;Laaber;;;03229;;;;;;;;;;;;;;
20.0;2035;A10;0;;;Nittendorf;;;03229;;;;;;;;;;;;;;
20.0;2220;A10;0;;;Regenstauf;;;03229;;;;;;;;;;;;;;
20.0;32152;A10;0;;;Kallmünz;;;03229;;;;;;;;;;;;;;
20.0;2122;A10;0;;;Pentling;;;03229;;;;;;;;;;;;;;
20.0;6036;A6;1;;;Oberpfälzer Wald;;;00296;;;;;;;;;;;;;;
20.0;556;A9;1;;;Neumarkt i.d.OPf.;;;00296;;;;;;;;;;;;;;
20.0;1072;A10;0;;;Deining;;;00556;;;;;;;;;;;;;;
20.0;3978;A10;0;;;Seubersdorf i.d. OPf.;;;00556;;;;;;;;;;;;;;
20.0;32192;A10;0;;;Berngau;;;00556;;;;;;;;;;;;;;
20.0;31877;A10;0;;;Berg b. Neumarkt i.d. OPf.;;;00556;;;;;;;;;;;;;;
20.0;60831;P5;8;;A3 Nürnberg-Passau;Neumarkt i.d.Oberpfalz;;;31877;;;;;49,3131;11,4746;1;0;0;0;0;0;0;
20.0;31701;A10;0;;;Dietfurt a.d. Altmühl;;;00556;;;;;;;;;;;;;;
20.0;60413;A10;0;;;Lupburg;;;00556;;;;;;;;;;;;;;
20.0;904;A10;0;;;Berching;;;00556;;;;;;;;;;;;;;
20.0;32197;A10;0;;;Breitenbrunn;;;00556;;;;;;;;;;;;;;
20.0;2001;A10;0;;;Neumarkt i.d. OPf.;;;00556;;;;;;;;;;;;;;
20.0;35158;A6;4;;;Innenstadt;;;02001;;;;;;;;;;;;;;
20.0;35159;A6;4;;;Jurahallen;;;02001;;;;;;;;;;;;;;
20.0;1950;A10;0;;;Mühlhausen;;;00556;;;;;;;;;;;;;;
20.0;31723;A10;0;;;Parsberg;;;00556;;;;;;;;;;;;;;
20.0;60832;P5;8;;A3 Nürnberg-Passau;Parsberg;;;31723;;;;;49,17545;11,72865;1;0;0;0;0;0;0;
20.0;2176;A10;0;;;Postbauer-Heng;;;00556;;;;;;;;;;;;;;
20.0;4197;A10;0;;;Freystadt;;;00556;;;;;;;;;;;;;;
20.0;32191;A10;0;;;Pyrbaum;;;00556;;;;;;;;;;;;;;
20.0;32198;A10;0;;;Hohenfels;;;00556;;;;;;;;;;;;;;
20.0;31741;A10;0;;;Velburg;;;00556;;;;;;;;;;;;;;
20.0;31868;A10;0;;;Lauterhofen;;;00556;;;;;;;;;;;;;;
20.0;701;A9;2;;;Weiden i.d.OPf.;;;00296;;;;;;;;;;;;;;
20.0;31843;A12;0;;;Nordbayern;;;00264;;;;;;;;;;;;;;
20.0;31844;A12;0;;;Südbayern;;;00264;;;;;;;;;;;;;;
20.0;303;A8;0;;;Unterfranken;;;00264;;;;;;;;;;;;;;
20.0;653;A9;1;;;Schweinfurt;;;00303;;;;;;;;;;;;;;
20.0;2679;A10;0;;;Werneck;;;00653;;;;;;;;;;;;;;
20.0;60846;P5;8;;A70 Bamberg-Schweinfurt;Werneck;;;02679;;;;;50,0037;10,11805;1;0;0;0;0;0;0;
20.0;1329;A10;0;;;Gerolzhofen;;;00653;;;;;;;;;;;;;;
20.0;31263;A10;0;;;Schonungen;;;00653;;;;;;;;;;;;;;
20.0;2171;A10;0;;;Poppenhausen;;;00653;;;;;;;;;;;;;;
20.0;2643;A10;0;;;Wasserlosen;;;00653;;;;;;;;;;;;;;
20.0;36148;A10;0;;;Waigolshausen;;;00653;;;;;;;;;;;;;;
20.0;2028;A10;0;;;Niederwerrn;;;00653;;;;;;;;;;;;;;
20.0;3861;A10;0;;;Gochsheim;;;00653;;;;;;;;;;;;;;
20.0;36147;A10;0;;;Stadtlauringen;;;00653;;;;;;;;;;;;;;
20.0;31260;A10;0;;;Sulzheim;;;00653;;;;;;;;;;;;;;
20.0;36149;A10;0;;;Schwanfeld;;;00653;;;;;;;;;;;;;;
20.0;7720;A10;0;;;Sennfeld;;;00653;;;;;;;;;;;;;;
20.0;31262;A10;0;;;Schwebheim;;;00653;;;;;;;;;;;;;;
20.0;31531;A10;0;;;Euerbach;;;00653;;;;;;;;;;;;;;
20.0;31261;A10;0;;;Kolitzheim;;;00653;;;;;;;;;;;;;;
20.0;35271;A10;0;;;Bergrheinfeld;;;00653;;;;;;;;;;;;;;
20.0;487;A9;1;;;Kitzingen;;;00303;;;;;;;;;;;;;;
20.0;46860;A10;0;;;Marktbreit;;;00487;;;;;;;;;;;;;;
20.0;46784;A10;0;;;Markt Einersheim;;;00487;;;;;;;;;;;;;;
20.0;3901;A10;0;;;Kitzingen;;;00487;;;;;;;;;;;;;;
20.0;2371;A10;0;;;Schwarzach a. Main;;;00487;;;;;;;;;;;;;;
20.0;925;A10;0;;;Biebelried;;;00487;;;;;;;;;;;;;;
20.0;31744;A10;0;;;Volkach;;;00487;;;;;;;;;;;;;;
20.0;1848;A10;0;;;Mainbernheim;;;00487;;;;;;;;;;;;;;
20.0;1035;A10;0;;;Castell;;;00487;;;;;;;;;;;;;;
20.0;2183;A10;0;;;Prichsenstadt;;;00487;;;;;;;;;;;;;;
20.0;1079;A10;0;;;Dettelbach;;;00487;;;;;;;;;;;;;;
20.0;60825;P5;8;;A3 Würzburg-Nürnberg;Rottendorf (Dettelbach);;;01079;;;;;49,78015;10,0659;1;0;0;0;0;0;0;
20.0;33096;A10;0;;;Segnitz;;;00487;;;;;;;;;;;;;;
20.0;31882;A10;0;;;Kleinlangheim;;;00487;;;;;;;;;;;;;;
20.0;1593;A10;0;;;Iphofen;;;00487;;;;;;;;;;;;;;
20.0;31881;A10;0;;;Rüdenhausen;;;00487;;;;;;;;;;;;;;
20.0;60826;P5;8;;A3 Würzburg-Nürnberg;Wiesentheid (Rüdenhausen);;;31881;;;;;49,7687;10,341;1;0;0;0;0;0;0;
20.0;31716;A10;0;;;Marktsteft;;;00487;;;;;;;;;;;;;;
20.0;31880;A10;0;;;Geiselwind;;;00487;;;;;;;;;;;;;;
20.0;60827;P5;8;;A3 Würzburg-Nürnberg;Geiselwind;;;31880;;;;;49,7684;10,47;1;0;0;0;0;0;0;
20.0;31896;A10;0;;;Obernbreit;;;00487;;;;;;;;;;;;;;
20.0;2700;A10;0;;;Wiesentheid;;;00487;;;;;;;;;;;;;;
20.0;31883;A10;0;;;Mainstockheim;;;00487;;;;;;;;;;;;;;
20.0;321;A9;1;;;Aschaffenburg;;;00303;;;;;;;;;;;;;;
20.0;1350;A10;0;;;Goldbach;;;00321;;;;;;;;;;;;;;
20.0;1399;A10;0;;;Großostheim;;;00321;;;;;;;;;;;;;;
20.0;918;A10;0;;;Bessenbach;;;00321;;;;;;;;;;;;;;
20.0;1564;A10;0;;;Hösbach;;;00321;;;;;;;;;;;;;;
20.0;2647;A10;0;;;Weibersbrunn;;;00321;;;;;;;;;;;;;;
20.0;1673;A10;0;;;Kleinostheim;;;00321;;;;;;;;;;;;;;
20.0;60824;P5;8;;A3 Frankfurt-Würzburg;Aschaffenburg-West (Kleinostheim);;;01673;;;;;49,9931;9,0706;1;0;0;0;0;0;0;
20.0;3890;A10;0;;;Kahl a. Main;;;00321;;;;;;;;;;;;;;
