TYPE	ID	NAME	AREA	MAINROUTE	ALTERNATEROUTE	WWW	SRID	X	Y
ROUTE	DE-10041.A	DE-10041.A					4326	48.03429	11.56582
ROUTE+							4326	48.03483	11.56822
STRATEGIE	DE-10041	New		DE-10041.M	DE-10041.A				

ROUTE	DE-10043.M	DE-10043.M					4326	48.03429	11.56582
ROUTE+							4326	48.03483	11.56822
ROUTE	DE-10043.A	DE-10043.A					4326	48.03429	11.56582
ROUTE+							4326	48.03483	11.56822
STRATEGIE	DE-10043	New		DE-10043.M	DE-10043.A				

ROUTE	DE-10056.M	DE-10056.M					4326	48.03429	11.56582
ROUTE+							4326	48.03483	11.56822
ROUTE	DE-10056.A	DE-10056.A					4326	48.03429	11.56582
ROUTE+							4326	48.03483	11.56822
STRATEGIE	DE-10056	New		DE-10056.M	DE-10056.A				

ROUTE	DE-10057.M	DE-10057.M					4326	48.03429	11.56582
ROUTE+							4326	48.03483	11.56822
ROUTE	DE-10057.A	DE-10057.A					4326	48.03429	11.56582
ROUTE+							4326	48.03483	11.56822
STRATEGIE	DE-10057	New		DE-10057.M	DE-10057.A				

ROUTE	DE-10058.M	DE-10058.M					4326	48.03429	11.56582
ROUTE+							4326	48.03483	11.56822
ROUTE	DE-10058.A	DE-10058.A					4326	48.03429	11.56582
ROUTE+							4326	48.03483	11.56822
STRATEGIE	DE-10058	New		DE-10058.M	DE-10057.A				

ROUTE	DE-10059.M1	DE-10059.M1					4326	48.03429	11.56582
ROUTE+							4326	48.03483	11.56822
ROUTE	DE-10059.A1	DE-10059.A1					4326	48.03429	11.56582
ROUTE+							4326	48.03483	11.56822
STRATEGIE	DE-10059.A1	New		DE-10059.M1	DE-10059.A1				

ROUTE	DE-10061.M1	DE-10061.M1					4326	48.03429	11.56582
ROUTE+							4326	48.03483	11.56822
ROUTE	DE-10061.A1	DE-10061.A1					4326	48.03429	11.56582
ROUTE+							4326	48.03483	11.56822
STRATEGIE	DE-10061.A1	New		DE-10061.M1	DE-10061.A1				

ROUTE	DE-10061.M1	DE-10061.M1					4326	48.03429	11.56582
ROUTE+							4326	48.03483	11.56822
ROUTE	DE-10061.A1	DE-10061.A1					4326	48.03429	11.56582
ROUTE+							4326	48.03483	11.56822
STRATEGIE	DE-10061.A1	New		DE-10061.M1	DE-10061.A1				

ROUTE	DE-10062.M1	DE-10062.M1					4326	48.03429	11.56582
ROUTE+							4326	48.03483	11.56822
ROUTE	DE-10062.A1	DE-10062.A1					4326	48.03429	11.56582
ROUTE+							4326	48.03483	11.56822
STRATEGIE	DE-10062.A1	New		DE-10062.M1	DE-10062.A1				

