TYPE	NAME	MATCHLEVEL	DE	PROGRAM	TEXT
CONTENT			wzg.wzg99-152-sbg_lcd2_98.m.de		Messe / ICM
CONTENT			wzg.wzg99-152-sbg_lcd2_98.m.de		Messe
CONTENT			wzg.wzg99-152-sbg_lcd2_98.m.de		Test
CONDITION	S-10a-AQ99-160-Sbg				
CONTENT			wzg.wzg99-160-sbg_w6_38.m.de	241	
CONTENT			wzg.wzg99-160-sbg_lcd2_98.m.de		Messe / ICM
CONTENT			wzg.wzg99-160-sbg_lcd2_98.m.de		Messe
CONTENT			wzg.wzg99-160-sbg_lcd2_98.m.de		Test
CONDITION	S-10a-AQ99-180-Sbg				
CONTENT			wzg.wzg99-180-sbg_w6_38.m.de	241	
CONTENT			wzg.wzg99-180-sbg_lcd2_98.m.de		Messe / ICM
CONTENT			wzg.wzg99-180-sbg_lcd2_98.m.de		Messe
CONTENT			wzg.wzg99-180-sbg_lcd2_98.m.de		Test
					
RULE	Rule-S-11a	1			
STRATEGY	S-11a				
MAIN_ROUTE_STRATEGY	S-11b				
REQUIREMENT	S-11a-WWK_9450100	1			
CONDITION	S-11a-AQAQ188-Mch				
CONTENT			wzg.wzgaq188-mch_w2_2.m.de	241	
CONTENT			wzg.wzgaq188-mch_w2_2.m.de	242	
CONDITION	S-11a-AQAQ190-Mch				
CONTENT			wzg.wzgaq190-mch_w2_2.m.de	241	
CONTENT			wzg.wzgaq190-mch_w2_2.m.de	242	
CONDITION	S-11a-AQAQ194-Mch				
CONTENT			wzg.wzgaq194-mch_w2_2.m.de	241	
CONTENT			wzg.wzgaq194-mch_w2_2.m.de	242	
REQUIREMENT	S-11a-WWK_9401 	1			
CONDITION	S-11a-AQWWQ201_Mch				
CONTENT			wzg.wzgwwq201-mch_wta1_226.m.de		<MesseName>
CONTENT			wzg.wzgwwq201-mch_wta2_227.m.de		<MesseName>
CONDITION	S-11a-AQWWQ202_Mch				
CONTENT			wzg.wzgwwq202-mch_wta1_226.m.de		<MesseName>
CONTENT			wzg.wzgwwq202-mch_wta2_227.m.de		<MesseName>
					
RULE	Rule-S-11b	1			
STRATEGY	S-11b				
REQUIREMENT	S-11b-WWK_9450100	1			
CONDITION	S-11b-AQAQ188-Mch				
CONTENT			wzg.wzgaq188-mch_w2_2.m.de	241	
CONTENT			wzg.wzgaq188-mch_w2_2.m.de	242	
CONDITION	S-11b-WZGAQ190-Mch				
CONTENT			wzg.wzgaq190-mch_w2_2.m.de	241	
CONTENT			wzg.wzgaq190-mch_w2_2.m.de	242	
CONDITION	S-11b-WZGAQ194-Mch				
CONTENT			wzg.wzgaq194-mch_w2_2.m.de	241	
CONTENT			wzg.wzgaq194-mch_w2_2.m.de	242	
REQUIREMENT	S-11b-WWK_9402 	1			
CONDITION	S-11b-AQWWQ03_Mch				
CONTENT			wzg.wzgwwq03-mch_wta1_226.m.de		Fujitsu Forum
CONTENT			wzg.wzgwwq03-mch_wta2_227.m.de		Fujitsu Forum
CONTENT			wzg.wzgwwq03-mch_wta1_226.m.de		productronica
CONTENT			wzg.wzgwwq03-mch_wta2_227.m.de		productronica
CONTENT			wzg.wzgwwq03-mch_wta1_226.m.de		GBTA Conference
CONTENT			wzg.wzgwwq03-mch_wta2_227.m.de		GBTA Conference
CONTENT			wzg.wzgwwq03-mch_wta1_226.m.de		ICIS
CONTENT			wzg.wzgwwq03-mch_wta2_227.m.de		ICIS
CONTENT			wzg.wzgwwq03-mch_wta1_226.m.de		Heim + Handwerk
CONTENT			wzg.wzgwwq03-mch_wta2_227.m.de		Heim + Handwerk
CONTENT			wzg.wzgwwq03-mch_wta1_226.m.de		TRENDSET
CONTENT			wzg.wzgwwq03-mch_wta2_227.m.de		TRENDSET
CONTENT			wzg.wzgwwq03-mch_wta1_226.m.de		BAU
CONTENT			wzg.wzgwwq03-mch_wta2_227.m.de		BAU
CONTENT			wzg.wzgwwq03-mch_wta1_226.m.de		OOP
CONTENT			wzg.wzgwwq03-mch_wta2_227.m.de		OOP
CONTENT			wzg.wzgwwq03-mch_wta1_226.m.de		opti
CONTENT			wzg.wzgwwq03-mch_wta2_227.m.de		opti
CONTENT			wzg.wzgwwq03-mch_wta1_226.m.de		ISPO
CONTENT			wzg.wzgwwq03-mch_wta2_227.m.de		ISPO
CONTENT			wzg.wzgwwq03-mch_wta1_226.m.de		INHORGENTA
CONTENT			wzg.wzgwwq03-mch_wta2_227.m.de		INHORGENTA
CONTENT			wzg.wzgwwq03-mch_wta1_226.m.de		f.re.e
CONTENT			wzg.wzgwwq03-mch_wta2_227.m.de		f.re.e
CONTENT			wzg.wzgwwq03-mch_wta1_226.m.de		LOPEC
CONTENT			wzg.wzgwwq03-mch_wta2_227.m.de		LOPEC
CONTENT			wzg.wzgwwq03-mch_wta1_226.m.de		PERFORMANCE DAYS
CONTENT			wzg.wzgwwq03-mch_wta2_227.m.de		PERFORMANCE DAYS
CONTENT			wzg.wzgwwq03-mch_wta1_226.m.de		OutDoor
CONTENT			wzg.wzgwwq03-mch_wta2_227.m.de		OutDoor
CONTENT			wzg.wzgwwq03-mch_wta1_226.m.de		EXPO REAL
CONTENT			wzg.wzgwwq03-mch_wta2_227.m.de		EXPO REAL
CONTENT			wzg.wzgwwq03-mch_wta1_226.m.de		Munich Show
CONTENT			wzg.wzgwwq03-mch_wta2_227.m.de		Munich Show
CONTENT			wzg.wzgwwq03-mch_wta1_226.m.de		Internationale Handwerksmesse
CONTENT			wzg.wzgwwq03-mch_wta2_227.m.de		Internationale Handwerksmesse
CONTENT			wzg.wzgwwq03-mch_wta1_226.m.de		analytica
CONTENT			wzg.wzgwwq03-mch_wta2_227.m.de		analytica
CONTENT			wzg.wzgwwq03-mch_wta1_226.m.de		LEIF
CONTENT			wzg.wzgwwq03-mch_wta2_227.m.de		LEIF
CONTENT			wzg.wzgwwq03-mch_wta1_226.m.de		IFAT
CONTENT			wzg.wzgwwq03-mch_wta2_227.m.de		IFAT
CONTENT			wzg.wzgwwq03-mch_wta1_226.m.de		Laser
CONTENT			wzg.wzgwwq03-mch_wta2_227.m.de		Laser
CONTENT			wzg.wzgwwq03-mch_wta1_226.m.de		Pferd International
CONTENT			wzg.wzgwwq03-mch_wta2_227.m.de		Pferd International
CONTENT			wzg.wzgwwq03-mch_wta1_226.m.de		automatica
CONTENT			wzg.wzgwwq03-mch_wta2_227.m.de		automatica
CONTENT			wzg.wzgwwq03-mch_wta1_226.m.de		eMove 360
CONTENT			wzg.wzgwwq03-mch_wta2_227.m.de		eMove 360
CONTENT			wzg.wzgwwq03-mch_wta1_226.m.de		electronica
CONTENT			wzg.wzgwwq03-mch_wta2_227.m.de		electronica
CONTENT			wzg.wzgwwq03-mch_wta1_226.m.de		Transport Logistic
CONTENT			wzg.wzgwwq03-mch_wta2_227.m.de		Transport Logisitc
CONTENT			wzg.wzgwwq03-mch_wta1_226.m.de		bauma
CONTENT			wzg.wzgwwq03-mch_wta2_227.m.de		bauma
CONTENT			wzg.wzgwwq03-mch_wta1_226.m.de		Beauty Forum
CONTENT			wzg.wzgwwq03-mch_wta2_227.m.de		Beauty Forum
CONTENT			wzg.wzgwwq03-mch_wta1_226.m.de		Ceramitec
CONTENT			wzg.wzgwwq03-mch_wta2_227.m.de		Ceramitec
CONTENT			wzg.wzgwwq03-mch_wta1_226.m.de		FESPA
CONTENT			wzg.wzgwwq03-mch_wta2_227.m.de		FESPA
CONTENT			wzg.wzgwwq03-mch_wta1_226.m.de		Intersolar
CONTENT			wzg.wzgwwq03-mch_wta2_227.m.de		Intersolar
CONTENT			wzg.wzgwwq03-mch_wta1_226.m.de		exopharm
CONTENT			wzg.wzgwwq03-mch_wta2_227.m.de		exopharm
