TYPE	ID	NAME	AREA	MAINROUTE	ALTERNATEROUTE	WWW	ROADELEMENT		
ROUTE+							83533546		
ROUTE+							576283978		
ROUTE+							779153236		
STRATEGIE	S-12a	A99 Sued Feldkrichen		S-12a-M					
									
ROUTE	S-12b-M	S-12b-M					554346548		via A99 Sued Riem
ROUTE+							576294235		
ROUTE+							554339307		
ROUTE+							770472233		
ROUTE+							67617079		
ROUTE+							52818310		
ROUTE+							52814075		
ROUTE+							783094994		
ROUTE+							554332493		
ROUTE+							562776259		
ROUTE+							554332508		
ROUTE+							770454820		
ROUTE+							770459488		
ROUTE+							562822762		
ROUTE+							554333834		Riem
ROUTE+							554333842		
ROUTE+							779156581		
ROUTE+							59403731		
STRATEGIE	S-12b	A99 Sued Riem		S-12b-M					
									
ROUTE	S-12c-M	S-12c-M					554346548		via A99 Sued Am Moosfeld
ROUTE+							576294235		
ROUTE+							554339307		
ROUTE+							770472233		
ROUTE+							67617079		
ROUTE+							52818310		
ROUTE+							52814075		
ROUTE+							783094994		
ROUTE+							554332493		
ROUTE+							562776259		
ROUTE+							554332508		
ROUTE+							770454820		
ROUTE+							770459488		
ROUTE+							562822762		
ROUTE+							52908549		am Moosfeld
ROUTE+							59401727		
ROUTE+							59401728		
ROUTE+							576286209		
ROUTE+							779175435		
ROUTE+							562816597		
ROUTE+							779175432		
ROUTE+							59403766		
STRATEGIE	S-12c	A99 Sued am Moosfeld		S-12c-M					
									
									
									
									
ROUTE	S-13a-M	S-13a-M					783176708		via A99 Feldkirchen West FreiflÑche Ost
ROUTE+							554330107		
ROUTE+							770446724		
ROUTE+							562762166		vor Aschheim
ROUTE+							722771321		
ROUTE+							749456624		
ROUTE+							52837420		
ROUTE+							722733778		
ROUTE+							554332641		
ROUTE+							722733780		
ROUTE+							576300101		
ROUTE+							770459488		
ROUTE+							562822762		
ROUTE+							83533546		Feldkirchen West
ROUTE+							576283978		
ROUTE+							779153236		
STRATEGIE	S-13a	Messe via A99 Feldkirchen		S-13a-M		WWK_950106			
									
ROUTE	S-13b-M	S-13b-M					783176708		via A99 Riem Parkhaus 
ROUTE+							554330107		
ROUTE+							770446724		
ROUTE+							562762166		vor Aschheim
ROUTE+							722771321		
ROUTE+							749456624		
ROUTE+							52837420		
ROUTE+							722733778		
ROUTE+							554332641		
ROUTE+							722733780		
ROUTE+							576300101		
ROUTE+							770459488		
ROUTE+							562822762		
ROUTE+							52902875		
ROUTE+							783408724		
ROUTE+							554333834		Riem
ROUTE+							554333842		
ROUTE+							779156581		
ROUTE+							59403731		
STRATEGIE	S-13b	Messe via A99-Riem		S-13b-M		WWK_950106			
									
ROUTE	S-13c-M	S-13c-M					783176708		via A99 am Moosfeld Parkhaus 
ROUTE+							554330107		
ROUTE+							770446724		
ROUTE+							562762166		vor Aschheim
ROUTE+							722771321		
ROUTE+							749456624		
ROUTE+							52837420		
ROUTE+							722733778		
ROUTE+							554332641		
ROUTE+							722733780		
ROUTE+							576300101		
ROUTE+							770459488		
ROUTE+							562822762		
ROUTE+							52902875		
ROUTE+							783408724		
ROUTE+							52908549		am Moosfeld
ROUTE+							59401727		
ROUTE+							59401728		
ROUTE+							576286209		
ROUTE+							779175435		
ROUTE+							562816597		
ROUTE+							779175432		
ROUTE+							59403766		
STRATEGIE	S-13c	Messe via A99 am Moosfeld		S-13c-M		WWK_950106			
									
									
									
ROUTE	S-14a-M	S-14a-M					773011798		via A8/mittlerer Ring
ROUTE+							773011797		
ROUTE+							67628607		
ROUTE+							52805187		
ROUTE+							562821481		
ROUTE+							554333998		
ROUTE+							779175438	am Moosfeld	
ROUTE+							779175433		
ROUTE+							59403766		
STRATEGIE	S-14a	Einsteinstr am Moosfeld		S-14a-M					
									
									
ROUTE	S-14b-M	S-14b-M					773011798		
ROUTE+							773011797		
ROUTE+							67628607		
ROUTE+							52805187		
ROUTE+							562821481		
ROUTE+							554333998		
ROUTE+							576300926		
ROUTE+							52805637		Riem 1
ROUTE+							59403766		
STRATEGIE	S-14b	Einsteinstr Riem 1		S-14b-M					
									
									
ROUTE	S-14c-M	S-14c-M					773011798		
ROUTE+							773011797		
ROUTE+							67628607		
ROUTE+							52805187		
ROUTE+							562821481		
ROUTE+							554333998		
ROUTE+							554333877		
ROUTE+							576300928		
STRATEGIE	S-14c	Einsteinstr Riem 2		S-14c-M					
									
									
ROUTE	S-14d-M	S-14d-M					773011798		
ROUTE+							773011797		
ROUTE+							67628607		
ROUTE+							52805187		
ROUTE+							562821481		
ROUTE+							554333998		
ROUTE+							67628332		
ROUTE+							562772824		
ROUTE+							779118395		
STRATEGIE	S-14d	Einsteinstr Feldkirchen West		S-14d-M					
									
									
ROUTE	S-15a-M	S-15a-M					783176708		
ROUTE+							562822077		
ROUTE+							52798431		via A9 A99
ROUTE+							67625843		
ROUTE+							586900047		
ROUTE+							52798434		
ROUTE+							562821015		
ROUTE+							554334941		
ROUTE+							783499058		
ROUTE+							576294982		
ROUTE+							67626886		
ROUTE+							783499050		
ROUTE+							67626891		
ROUTE+							52822985		
ROUTE+							576274660		vor Feldkirchen West
ROUTE+							733519996		via A9 - mittlerer Ring
ROUTE+							711548623		
ROUTE+							711548620		
ROUTE+							820510251		
ROUTE+							806713915		
ROUTE+							773011765		
ROUTE+							773011774		
ROUTE+							773011798		
ROUTE+							773011797		
ROUTE+							67628607		
ROUTE+							562821424		
ROUTE+							779175438		
ROUTE+							779175433		
ROUTE+							59403766		
STRATEGIE	S-15a	Messe via A9 Feldkirchen West		S-15a-M		WWK_950106			
									
ROUTE	S-15b-M	S-15b-M					783176708		
ROUTE+							562822077		
ROUTE+							52798431		
ROUTE+							67625843		
ROUTE+							586900047		
ROUTE+							52798434		
ROUTE+							562821015		
ROUTE+							554334941		
ROUTE+							783499058		
ROUTE+							576294982		
ROUTE+							67626886	am Moosfeld	
ROUTE+							783499050		
ROUTE+							67626891		
ROUTE+							52822985		
ROUTE+							576274660		
ROUTE+							733519996		
ROUTE+							711548623		
ROUTE+							711548620		
ROUTE+							820510251		
ROUTE+							806713915		
ROUTE+							773011765		
ROUTE+							773011774		
ROUTE+							773011798		
ROUTE+							773011797		
ROUTE+							67628607		
ROUTE+							562821424		
ROUTE+							576300926		
ROUTE+							52805637		
ROUTE+							59403766		
STRATEGIE	S-15b	Messe via A9 am Moosfeld		S-15b-M		WWK_950106			
									
									
ROUTE	S-15c-M	S-15c-M					783176708		
ROUTE+							562822077		
ROUTE+							52798431		
ROUTE+							67625843		
ROUTE+							586900047		
ROUTE+							52798434		
ROUTE+							562821015		
ROUTE+							554334941		
ROUTE+							783499058		
ROUTE+							576294982		Riem 1
ROUTE+							67626886		
ROUTE+							783499050		
ROUTE+							67626891		
ROUTE+							52822985		
ROUTE+							576274660		
ROUTE+							733519996		
ROUTE+							711548623		
ROUTE+							711548620		
ROUTE+							820510251		
ROUTE+							806713915		
ROUTE+							773011765		
ROUTE+							773011774		
ROUTE+							773011798		
ROUTE+							773011797		
ROUTE+							67628607		
ROUTE+							562821424		
ROUTE+							554333877		
ROUTE+							576300928		
STRATEGIE	S-15c	Messe via A9 Riem1 		S-15c-M		WWK_950106			
									
ROUTE	S-15d-M	S-15d-M					783176708		
ROUTE+							562822077		
ROUTE+							52798431		
ROUTE+							67625843		
ROUTE+							586900047		
ROUTE+							52798434		
ROUTE+							562821015		
ROUTE+							554334941		
ROUTE+							783499058		
ROUTE+							576294982		
ROUTE+							67626886		
ROUTE+							783499050		Riem 2
ROUTE+							67626891		
ROUTE+							52822985		
ROUTE+							576274660		
ROUTE+							733519996		
ROUTE+							711548623		
ROUTE+							711548620		
ROUTE+							820510251		
ROUTE+							806713915		
ROUTE+							773011765		
ROUTE+							773011774		
ROUTE+							773011798		
ROUTE+							773011797		
ROUTE+							67628607		
ROUTE+							562821424		
ROUTE+							67628332		
ROUTE+							562772824		
ROUTE+							779118395		
STRATEGIE	S-15d	Messe via A9 Riem 2		S-15d-M		WWK_950106			
									
									
									
ROUTE	S-16a-M	S-16a-M					554346548		
ROUTE+							576294234		
ROUTE+							783091433		
ROUTE+							770472240		
ROUTE+							770472474		
ROUTE+							576292551		
ROUTE+							812885360		
ROUTE+							576300798		
ROUTE+							52812582		
ROUTE+							83508440		
ROUTE+							576271677		
ROUTE+							52808598		
ROUTE+							783483949		
ROUTE+							780359127		
ROUTE+							820600993		
ROUTE+							773086515		via A8/mittlerer Ring
ROUTE+							773011798		
ROUTE+							773011797		
ROUTE+							67628607		
ROUTE+							52805187		
ROUTE+							562821481		
ROUTE+							554333998		
ROUTE+							779175438		
ROUTE+							779175433		
ROUTE+							59403766		
