TYPE	ID	NAME	SRID	X	Y	HELP1	HELP2
							
WWWSET	WWK_950106	WWW BAB A9 AS72 - AK M�nchen-Nord (Fr. M�nchen)					950106
WWWPANEL	WWQ_9.781a	AQ9-781a-Mch	4326	48.2416536	11.6393387		9.781a
WWWPANEL	WWQ_9.781b	AQ9-781b-Mch	4326	48.2378691	11.6374719		9.781b
WWWPANEL	WWQ_9.781c	AQ9-781c-Mch	4326	48.2335361	11.6352618		9.781c
WWWPANEL	WWQ_9.781d	AQ9-781d-Mch	4326	48.2312142	11.6341647		9.781d
							
							
WWWSET	WWK_9950112	WWW BAB A99 AS12b - AS Fr�ttmaning-Nord (Fr. Salzburg)					9950112
WWWPANEL	WWQ_99062	AQ99-062-Sbg	4326	48.2287655	11.5930223		99062
WWWPANEL	WWQ_99063	AQ99-063-Sbg	4326	48.2285432	11.6000014		99063
WWWPANEL	WWQ_99072	AQ99-072-Sbg	4326	48.2272443	11.6099792		99072
							
							
WWWSET	WWK_9950105	WWW BAB A99 - AS14 Aschheim/Ismaning					9950105
WWWPANEL	WWQ_99_29277_Sbg	WWQ_99_29277_Sbg	4326	48.194943	11.683296		99_29277_Sbg
WWWPANEL	WWQ_99_28850_Sbg	WWQ_99_28850_Sbg	4326	48.196385	11.677947		99_28850_Sbg
WWWPANEL	WWQ_99_ASAsh_0530_AM	WWQ_99_ASASH_0530_AM	4326	48.194324	11.686158		99_ASAsh_0530_AM
WWWPANEL	WWQ_99_ASAsh_0920_AM	WWQ_99_ASASH_0920_AM	4326	48.192396	11.694862		99_ASAsh_0920_AM
							
							
WWWSET	WWK_9950106	WWW BAB A99 - AS15 Kirchheim b.M�nchen					9950106
WWWPANEL	AQ99-145-Sbg	WWQ_99-145-Sbg	4326	48.185058	11.718203		99-145-Sbg
WWWPANEL	AQ99-152-Sbg	WWQ_99-152-Sbg	4326	48.181507	11.724273		99-152-Sbg
WWWPANEL	AQ99-160-Sbg	WWQ_99-160-Sbg	4326	48.176960	11.730192		99-160-Sbg
WWWPANEL	AQ99-180-Sbg	WWQ_99180	4326	48.173469	11.733988		99-180-Sbg
							
							
							
WWWSET	WWK_9950108	WWW BAB A99 - AS17 AK M�nchen Ost_Sbg					9950108
WWWPANEL	AQ99-200-Sbg	WWQ_99200	4326	48.161082	11.745878		99-200-Sbg
WWWPANEL	AQ99-220-Sbg	WWQ_99220	4326	48.153086	11.752322		99-220-Sbg
WWWPANEL	AQ99-230-Sbg	WWQ_99230	4326	48.148591	11.755095		99-230-Sbg
							
							
							
WWWSET	WWK_850100	WWW BAB A8 Sued A95 AK M�nchen S�d					850100
WWWPANEL	AQ_AQ8_100_Mch	WWQ_8100	4326	47.999914	11.675263		AQ8_100_Mch
WWWPANEL	AQ_AQ8_110_Mch	WWQ_8110	4326	48.006356	11.670903		AQ8_110_Mch
WWWPANEL	AQ_AQ8_120_Mch	WWQ_8120	4326	48.010479	11.668035		AQ8_120_Mch
WWWPANEL	AQ_AQ8_130_Mch	WWQ_8130	4326	48.012897	11.666368		AQ8_130_Mch
WWWPANEL	AQ_AQ8_140_Mch	WWQ_8140	4326	48.019263	11.663034		AQ8_140_Mch
							
							
WWWSET	WWK_9950103	WWW BAB A99 - AS17 AK M�nchen Ost_Stg					9950103
WWWPANEL	AQ99-630-Stg	WWQ_99630	4326	48.119315	11.758515		99-630-Stg
WWWPANEL	AQ99-635-Stg	WWQ_99635	4326	48.126588	11.759499		99-635-Stg
WWWPANEL	AQ99-650-Stg	WWQ_99650	4326	48.132617	11.759585		99-650-Stg
WWWPANEL	AQ99-670-Stg	WWQ_99670	4326	48.136855	11.759287		99-670-Stg
