ID;TYPE;ROADNR;FR;KM;LAT;LON;BEARING
AQ_AQ_9_479450_Mch_193;AQ;A9;S;479.450;48.5952;11.5626;221
AQ_AQ_9_481060_Mch_193;AQ;A9;S;481.060;48.5847;11.5776;242
AQ_AQ_9_ADHoll_0420_OM_193;AQ;A9;S;482.030;48.58052;11.588758;287
AQ_AQ_9_483145_Mch_193;AQ;A9;S;483.145;48.5718;11.5924;181
AQ_AQ_9_484325_Mch_193;AQ;A9;S;484.325;48.5614;11.5892;164
AQ_AQ_9_485215_Mch_193;AQ;A9;S;485.215;48.553452;11.589605;205
AQ_AQ_9_485750_Mch_193;AQ;A9;S;485.750;48.5492;11.5925;204
AQ_AQ_9_486950_Mch_193;AQ;A9;S;486.950;48.538;11.595;187
AQ_AQ_9_488800_Mch_193;AQ;A9;S;488.800;48.5237;11.5844;159
AQ_AQ_9_489350_Mch_193;AQ;A9;S;489.350;48.517982;11.582466;183
AQ_AQ_9_489776_Mch_193;AQ;A9;S;489.776;48.515246;11.582738;186
AQ_AQ_9_490336_Mch_193;AQ;A9;S;490.336;48.51067;11.58428;203
AQ_WWQ_9_490127_Mch_195;AQ;A9;S;490.127;48.511942;11.583639;198
AQ_AQ_9_490845_Mch_193;AQ;A9;S;490.845;48.506164;11.587831;213
AQ_AQ_9_Pfaf_0070_EM_195;AQ;A9;S;490.864;48.505946;11.587913;213
AQ_AQ_9_491350_Mch_193;AQ;A9;S;491.350;48.5025;11.5913;213
AQ_AQ_9_492226_Mch_193;AQ;A9;S;492.226;48.4947;11.5947;182
AQ_AQ_9_493593_Mch_193;AQ;A9;S;493.593;48.4834;11.5888;157
AQ_AQ_9_495035_Mch_193;AQ;A9;S;495.035;48.4709;11.5859;197
AQ_AQ_9_495750_Mch_193;AQ;A9;S;495.750;48.464606;11.58823;197
AQ_AQ_9_496600_Mch_193;AQ;A9;S;496.600;48.4572;11.5907;186
AQ_AQ_9_498030_Mch_193;AQ;A9;S;498.030;48.4444;11.5893;178
AQ_AQ_9_499865_Mch_193;AQ;A9;S;499.865;48.427947;11.589133;183
AQ_AQ_9_500350_Mch_195;AQ;A9;S;500.350;48.423597;11.58919;182
AQ_AQ_9_500390_Mch_193;AQ;A9;S;500.390;48.4232;11.5894;182
AQ_AQ_9_502250_Mch_193;AQ;A9;S;502.250;48.4065;11.5896;183
AQ_AQ_9_503485_Mch_193;AQ;A9;S;503.485;48.3958;11.5934;210
AQ_AQ_9_504520_Mch_193;AQ;A9;S;504.520;48.3869;11.5972;183
AQ_AQ_9_505200_Mch_193;AQ;A9;S;505.200;48.380774;11.59652;177
AQ_AQ_9_505750_Mch_193;AQ;A9;S;505.750;48.3759;11.5961;182
AQ_AQ_9_506690_Mch_193;AQ;A9;S;506.690;48.3675;11.5952;178
AQ_AQ_9_508590_Mch_193;AQ;A9;S;508.590;48.351;11.601;204
AQ_AQ_9_510050_Mch_193;AQ;A9;S;510.050;48.338766;11.608052;203
AQ_AQ_9_510320_Mch_193;AQ;A9;S;510.320;48.3365;11.6095;203
AQ_AQ_9_510415_Mch_195;AQ;A9;S;510.415;48.334617;11.61035;203
AQ_AQ_9_480000_Nbg_194;AQ;A9;N;480.000;48.5915;11.5674;40
AQ_AQ_9_481250_Nbg_194;AQ;A9;N;481.250;48.5841;11.58;66
AQ_AQ_9_482565_Nbg_194;AQ;A9;N;482.565;48.576702;11.592852;358
AQ_AQ_9_483200_Nbg_194;AQ;A9;N;483.200;48.571;11.5926;1
AQ_AQ_9_484470_Nbg_194;AQ;A9;N;484.470;48.5599;11.5888;350
AQ_AQ_9_485020_Nbg_194;AQ;A9;N;485.020;48.555024;11.589309;19
AQ_AQ_9_485900_Nbg_194;AQ;A9;N;485.900;48.5476;11.5936;16
AQ_AQ_9_487755_Nbg_194;AQ;A9;N;487.755;48.5312;11.5925;325
AQ_AQ_9_489247_Nbg_194;AQ;A9;N;489.247;48.5198;11.583;354
AQ_AQ_9_490310_Nbg_194;AQ;A9;N;490.310;48.5108;11.5845;23
AQ_AQ_9_490904_Nbg_194;AQ;A9;N;490.904;48.506013;11.588668;33
AQ_AQ_9_491895_Nbg_194;AQ;A9;N;491.895;48.4976;11.5946;13
AQ_AQ_9_493840_Nbg_194;AQ;A9;N;493.840;48.4813;11.5877;338
AQ_AQ_9_494840_Nbg_194;AQ;A9;N;494.840;48.4725;11.5856;11
AQ_AQ_9_495893_Nbg_194;AQ;A9;N;495.893;48.463544;11.589235;17
AQ_AQ_9_496895_Nbg_194;AQ;A9;N;496.895;48.4545;11.5909;357
AQ_AQ_9_498180_Nbg_194;AQ;A9;N;498.180;48.4429;11.5894;0
AQ_AQ_9_499330_Nbg_194;AQ;A9;N;499.330;48.4327;11.5895;2
AQ_AQ_9_499925_Nbg_194;AQ;A9;N;499.925;48.427323;11.589715;3
AQ_AQ_9_500994_Nbg_194;AQ;A9;N;500.994;48.4177;11.5897;2
AQ_AQ_9_502505_Nbg_194;AQ;A9;N;502.505;48.4041;11.5899;4
AQ_AQ_9_503930_Nbg_194;AQ;A9;N;503.930;48.3921;11.5961;21
AQ_AQ_9_504515_Nbg_194;AQ;A9;N;504.515;48.38695;11.597635;4
AQ_AQ_9_505300_Nbg_194;AQ;A9;N;505.300;48.3799;11.5968;358
AQ_AQ_9_506950_Nbg_194;AQ;A9;N;506.950;48.3651;11.5952;359
AQ_AQ_9_508400_Nbg_194;AQ;A9;N;508.400;48.3526;11.6003;24
AQ_AQ_9_509515_Nbg_194;AQ;A9;N;509.515;48.3432;11.6059;24
AQ_AQ_9_510505_Nbg_194;AQ;A9;N;510.505;48.334944;11.610813;23
AQ_AQ_9_511090_Nbg_194;AQ;A9;N;511.090;48.3301;11.6135;26
AQ_AQ_9_511900_Nbg_194;AQ;A9;N;511.900;48.3234;11.617;23
AQ_AQ9_360_Nbg_194;AQ;A9;N;513.230;48.3117;11.6239;26
