2026-01-09T16:13:45.700106500Z
ID_CLASS	ID_PERM	ID_NAME	TLS_KNOTENNUMMER	TLS_LOC	TLS_DIST	TLS_FG	TLS_DE	FD	TLS_PORT	TLS_SLAVE	TLS_EAK	TLS_EA	TLS_WZGTYP	TLS_ZEICHENSATZ	TLS_ANZEIGEPRINZIP	TLS_HERSTELLER	TLS_TYP	TLS_REF	TLS_FAHRTR	LOC_LANE	LOC_WGS84_COOR_LAT	LOC_WGS84_COOR_LONG	LOC_ID_ASFiNAG	EFH	TLS_IFACEKEY
EQ	mq.mq_93_188090_mch.m.de	MQ_93_188090_Mch	9316297	36391	201	1	0		200	2	32						0						A93																				
MQ	vde.det_93_188090_mch_h2_34.m.de	DET_93_188090_Mch_H2	9316297	36391	201	1	34		200	2	32						0	mq.mq_93_188090_mch.m.de		F2			A93																				
MQ	vde.det_93_188090_mch_h1_33.m.de	DET_93_188090_Mch_H1	9316297	36391	201	1	33		200	2	32						0	mq.mq_93_188090_mch.m.de		F1			A93																				
SST	sst.sst_93_190130_mch.m.de	SST_93_190130_Mch	9316370	36392	18	254	0		200	3	0						0	ib.sst_93_186650_mch.m.de					A93																				
WVZ	wzg.cluster_aq_93_190130_mch_193.m.de	CLUSTER_AQ_93_190130_Mch	9316370	36392	18	4	193		200	3	33						0						A93																				
AQ	aq.aq_93_190130_mch.m.de	AQ_93_190130_Mch	9316370	36392	18	4	0		200	3	33						1	wzg.cluster_aq_93_190130_mch_193.m.de					A93																				
WVZ	wzg.aq_93_190130_mch_c2_106.m.de	AQ_93_190130_Mch_C2	9316370	36392	18	4	106		200	3	33						3	aq.aq_93_190130_mch.m.de		F3/F2			A93	2																			
WVZ	wzg.aq_93_190130_mch_c1_105.m.de	AQ_93_190130_Mch_C1	9316370	36392	18	4	105		200	3	33						3	aq.aq_93_190130_mch.m.de		AS			A93	2																			
WVZ	wzg.aq_93_190130_mch_a2_34.m.de	AQ_93_190130_Mch_A2	9316370	36392	18	4	34		200	3	33						1	aq.aq_93_190130_mch.m.de		F2			A93	0																			
WVZ	wzg.aq_93_190130_mch_a1_33.m.de	AQ_93_190130_Mch_A1	9316370	36392	18	4	33		200	3	33						1	aq.aq_93_190130_mch.m.de		AS			A93	0																			
